###############################################
#       Resgen Failed Image Loading Log       #
###############################################
ID_NAME 	ID	FILE_PATH	FORCE_TYPE
IMG_SI_MRE_PUSH	5523	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\IDLESCREEN\\STATUSICONS\\SI_MRE_PUSH.PNG	1
IMG_SI_EDGE	5525	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\IDLESCREEN\\STATUSICONS\\SI_EDGE.PNG	1
IMG_SI_EDGEC	5526	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\IDLESCREEN\\STATUSICONS\\SI_EDGEC.PNG	1
WGUI_VOLUME_FILL	10719	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\UIELEMENT\\SLIDECONTROLS\\V_FILL.PNG	0
IMG_SELECTOR_FILLER	10756	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\UIELEMENT\\SELECTOR_FILLER.BMP	0
IMG_INLINE_BUTTON_HIGHLIGHT_UP_BG	10762	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\UIELEMENT\\EDIT\\INLINE_BUTTON_HIGHLIGHT_UP.9SLICE.PNG	0
IMG_INLINE_BUTTON_NORMAL_UP_BG	10763	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\UIELEMENT\\EDIT\\INLINE_BUTTON_NORMAL_UP.9SLICE.PNG	0
IMG_INLINE_BUTTON_HIGHLIGHT_DOWN_BG	10764	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\UIELEMENT\\EDIT\\INLINE_BUTTON_HIGHLIGHT_DOWN.9SLICE.PNG	0
IMG_INLINE_BUTTON_NORMAL_DOWN_BG	10765	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\UIELEMENT\\EDIT\\INLINE_BUTTON_NORMAL_DOWN.9SLICE.PNG	0
IMG_CAT1004_CLOSE_ICON_DOWN	10799	..\\..\\CUSTOMER\\IMAGES\\PLUTO_ENCODE\\MAINLCD\\UIELEMENT\\VK3\\CLOSE_H.PNG	0
